"","GS-10-0-","GS-10-0.2-","GS-10-0.5-","GS-10-0.8-","GS-10-1-","GS-20-0-","GS-20-0.2-","GS-20-0.5-","GS-20-0.8-","GS-20-1-","GS-30-0-","GS-30-0.2-","GS-30-0.5-","GS-30-0.8-","GS-30-1-","GS-40-0-","GS-40-0.2-","GS-40-0.5-","GS-40-0.8-","GS-40-1-","GS-50-0-","GS-50-0.2-","GS-50-0.5-","GS-50-0.8-","GS-50-1-","GS-100-0-","GS-100-0.2-","GS-100-0.5-","GS-100-0.8-","GS-100-1-","GS-200-0-","GS-200-0.2-","GS-200-0.5-","GS-200-0.8-","GS-200-1-","GS-300-0-","GS-300-0.2-","GS-300-0.5-","GS-300-0.8-","GS-300-1-","GS-400-0-","GS-400-0.2-","GS-400-0.5-","GS-400-0.8-","GS-400-1-","GS-500-0-","GS-500-0.2-","GS-500-0.5-","GS-500-0.8-","GS-500-1-"
"ssGSEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE",29,21,9,9,6,63,53,22,7,4,90,76,43,19,1,100,97,60,22,5,100,98,79,30,6,100,100,99,58,7,100,100,100,81,16,100,100,100,96,16,100,100,100,99,20,100,100,100,100,30
"AUCell",30,21,8,7,0,58,47,20,7,3,77,63,33,12,3,98,85,47,15,2,96,90,56,18,6,100,100,91,22,4,100,100,100,36,3,100,100,100,70,8,100,100,100,73,5,100,100,100,79,5
"UCell",25,15,2,6,0,38,28,11,4,2,45,23,14,6,1,66,44,15,5,2,70,46,18,7,4,71,42,8,1,3,71,39,8,0,0,88,46,4,0,1,98,50,8,0,1,100,60,6,0,1
"scPS",26,17,3,6,2,41,35,15,4,4,52,38,25,8,2,80,61,28,11,3,81,66,36,18,6,98,90,61,10,5,100,98,92,17,0,100,100,96,27,4,100,100,99,28,6,100,100,100,40,3
"SCSE",25,16,3,7,2,38,30,13,5,4,46,32,24,7,3,72,58,26,11,3,77,63,37,18,4,98,92,65,12,4,100,99,93,19,3,100,100,98,43,5,100,100,100,45,5,100,100,100,60,6
"AddModuleScore",24,14,4,5,1,37,33,10,6,1,46,30,24,9,3,72,58,27,12,3,75,61,38,18,3,98,95,67,12,5,100,99,93,22,3,100,100,99,43,5,100,100,100,46,5,100,100,100,61,7
"ssGSEA1",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE1",35,26,23,12,7,67,63,44,13,5,93,91,48,21,5,100,97,81,24,6,99,98,91,34,7,100,100,100,59,14,100,100,100,88,14,100,100,100,91,29,100,100,100,98,34,100,100,100,99,42
"AUCell1",36,26,22,10,2,55,52,39,11,3,81,69,37,16,6,94,85,58,14,6,96,88,76,21,2,100,100,93,39,7,100,100,100,54,5,100,100,100,66,13,100,100,100,78,8,100,100,100,85,8
